ba,nercr,transreg,transgrp,cendiv,st,interconnect,st_interconnect,country,usda_region,h2ptcreg,hurdlereg,aggreg,transgrp_nercr
p19,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,MT,western,MT_western,USA,mountain,Mountain,WAPA_Upper_Great_Plains_West,p19,WECC_NW
p20,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,MT,western,MT_western,USA,mountain,Mountain,Northwestern_Energy,p20,WECC_NW
p21,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,WY,western,WY,USA,mountain,Mountain,PacifiCorp_East,p21,WECC_NW
p22,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,WY,western,WY,USA,mountain,Mountain,PacifiCorp_East,p22,WECC_NW
p23,WECC_NW,WestConnect,WestConnect_North,Mountain,WY,western,WY,USA,mountain,Mountain,WAPA_Rocky_Mountain_Region,p23,WECC_NW
p24,WECC_NW,WestConnect,WestConnect_North,Mountain,WY,western,WY,USA,mountain,Mountain,WAPA_Rocky_Mountain_Region,p24,WECC_NW
p25,WECC_NW,NorthernGrid,NorthernGrid_South,Mountain,UT,western,UT,USA,mountain,Mountain,PacifiCorp_East,p25,WECC_NW
p26,WECC_NW,NorthernGrid,NorthernGrid_South,Mountain,UT,western,UT,USA,mountain,Mountain,PacifiCorp_East,p26,WECC_NW
p27,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,AZ,USA,mountain,Southwest,WAPA_Desert_Southwest_Region,p27,WECC_SW
p28,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,AZ,USA,mountain,Southwest,Arizona_Public_Service_Co,p28,WECC_SW
p29,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,AZ,USA,mountain,Southwest,Arizona_Public_Service_Co,p29,WECC_SW
p30,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,AZ,USA,mountain,Southwest,Arizona_Public_Service_Co,p30,WECC_SW
p31,WECC_SW,WestConnect,WestConnect_South,Mountain,NM,western,NM_western,USA,mountain,Southwest,Public_Service_Co_of_New_Mexico,p31,WECC_SW
p32,WECC_NW,WestConnect,WestConnect_North,Mountain,SD,western,SD_western,USA,northern-plains,Plains,WAPA_Rocky_Mountain_Region,p32,WECC_NW
p33,WECC_NW,WestConnect,WestConnect_North,Mountain,CO,western,CO,USA,mountain,Mountain,Public_Service_Co_of_Colorado,p33,WECC_NW
p34,WECC_NW,WestConnect,WestConnect_North,Mountain,CO,western,CO,USA,mountain,Mountain,Public_Service_Co_of_Colorado,p34,WECC_NW
p35,SPP,SPP,SPP_North,West_North_Central,MT,eastern,MT_eastern,USA,mountain,Mountain,SPP,p35,SPP_North
p36,SPP,SPP,SPP_North,West_North_Central,ND,eastern,ND,USA,northern-plains,Plains,SPP,p36,SPP_North
p37,MISO,MISO,MISO_North,West_North_Central,ND,eastern,ND,USA,northern-plains,Plains,MISO,p37,MISO_North
p38,SPP,SPP,SPP_North,West_North_Central,SD,eastern,SD_eastern,USA,northern-plains,Plains,SPP,p38,SPP_North
p39,SPP,SPP,SPP_North,West_North_Central,NE,eastern,NE,USA,northern-plains,Plains,SPP,p39,SPP_North
p40,SPP,SPP,SPP_North,West_North_Central,NE,eastern,NE,USA,northern-plains,Plains,SPP,p40,SPP_North
p41,SPP,SPP,SPP_North,West_North_Central,NE,eastern,NE,USA,northern-plains,Plains,SPP,p41,SPP_North
p42,MISO,MISO,MISO_North,West_North_Central,MN,eastern,MN,USA,lake-states,Midwest,MISO,p42,MISO_North
p43,MISO,MISO,MISO_North,West_North_Central,MN,eastern,MN,USA,lake-states,Midwest,MISO,p43,MISO_North
p44,MISO,MISO,MISO_North,West_North_Central,MN,eastern,MN,USA,lake-states,Midwest,MISO,p44,MISO_North
p45,MISO,MISO,MISO_North,West_North_Central,IA,eastern,IA,USA,corn-belt,Midwest,MISO,p45,MISO_North
p46,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,Midwest,MISO,p46,MISO_North
p47,SPP,SPP,SPP_South,West_South_Central,NM,eastern,NM_eastern,USA,mountain,Southwest,SPP,p47,SPP_South
p48,SPP,SPP,SPP_South,West_South_Central,TX,eastern,TX_eastern,USA,southern-plains,Texas,SPP,p48,SPP_South
p49,SPP,SPP,SPP_South,West_South_Central,OK,eastern,OK,USA,southern-plains,Plains,SPP,p49,SPP_South
p50,SPP,SPP,SPP_South,West_South_Central,OK,eastern,OK,USA,southern-plains,Plains,SPP,p50,SPP_South
p51,SPP,SPP,SPP_South,West_South_Central,OK,eastern,OK,USA,southern-plains,Plains,SPP,p51,SPP_South
p52,SPP,SPP,SPP_South,West_North_Central,KS,eastern,KS,USA,northern-plains,Plains,SPP,p52,SPP_South
p53,SPP,SPP,SPP_South,West_North_Central,KS,eastern,KS,USA,northern-plains,Plains,SPP,p53,SPP_South
p54,SPP,SPP,SPP_South,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,SPP,p54,SPP_South
p55,SPP,SPP,SPP_South,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,SPP,p55,SPP_South
p56,SPP,SPP,SPP_South,West_South_Central,AR,eastern,AR,USA,delta-states,Delta,SPP,p56,SPP_South
p57,SPP,SPP,SPP_South,West_South_Central,TX,eastern,TX_eastern,USA,southern-plains,Texas,SPP,p57,SPP_South
p58,MISO,MISO,MISO_South,West_South_Central,LA,eastern,LA,USA,delta-states,Delta,MISO,p58,MISO_South
p59,WECC_SW,WestConnect,WestConnect_South,Mountain,TX,western,TX_western,USA,southern-plains,Texas,El_Paso_Electric,p59,WECC_SW
p60,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX_ercot,USA,southern-plains,Texas,ERCOT,p60,ERCOT
p61,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX_ercot,USA,southern-plains,Texas,ERCOT,p61,ERCOT
p62,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX_ercot,USA,southern-plains,Texas,ERCOT,p62,ERCOT
p63,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX_ercot,USA,southern-plains,Texas,ERCOT,p63,ERCOT
p64,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX_ercot,USA,southern-plains,Texas,ERCOT,p64,ERCOT
p65,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX_ercot,USA,southern-plains,Texas,ERCOT,p65,ERCOT
p66,MISO,MISO,MISO_South,West_South_Central,TX,eastern,TX_eastern,USA,southern-plains,Texas,MISO,p66,MISO_South
p67,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX_ercot,USA,southern-plains,Texas,ERCOT,p67,ERCOT
p68,MISO,MISO,MISO_North,West_North_Central,MN,eastern,MN,USA,lake-states,Midwest,MISO,p68,MISO_North
p69,MISO,MISO,MISO_North,West_North_Central,IA,eastern,IA,USA,corn-belt,Midwest,MISO,p69,MISO_North
p70,MISO,MISO,MISO_North,West_North_Central,IA,eastern,IA,USA,corn-belt,Midwest,MISO,p70,MISO_North
p71,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,MISO,p71,MISO_Central
p72,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,MISO,p72,MISO_Central
p73,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,MISO,p73,MISO_Central
p74,MISO,MISO,MISO_North,East_North_Central,MI,eastern,MI,USA,lake-states,Midwest,MISO,p74,MISO_North
p75,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,Midwest,MISO,p75,MISO_North
p76,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,Midwest,MISO,p76,MISO_North
p77,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,Midwest,MISO,p77,MISO_North
p78,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,Midwest,MISO,p78,MISO_North
p79,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,Midwest,MISO,p79,MISO_North
p80,PJM,PJM,PJM_West,East_North_Central,IL,eastern,IL,USA,corn-belt,Midwest,PJM,p80,PJM_West
p81,MISO,MISO,MISO_Central,East_North_Central,IL,eastern,IL,USA,corn-belt,Midwest,MISO,p81,MISO_Central
p82,MISO,MISO,MISO_Central,East_North_Central,IL,eastern,IL,USA,corn-belt,Midwest,MISO,p82,MISO_Central
p83,MISO,MISO,MISO_Central,East_North_Central,IL,eastern,IL,USA,corn-belt,Midwest,MISO,p83,MISO_Central
p84,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,MISO,p84,MISO_Central
p85,MISO,MISO,MISO_South,West_South_Central,AR,eastern,AR,USA,delta-states,Delta,MISO,p85,MISO_South
p86,MISO,MISO,MISO_South,West_South_Central,LA,eastern,LA,USA,delta-states,Delta,MISO,p86,MISO_South
p87,MISO,MISO,MISO_South,East_South_Central,MS,eastern,MS,USA,delta-states,Delta,MISO,p87,MISO_South
p88,SERC_C,SERTP,SERTP,East_South_Central,MS,eastern,MS,USA,delta-states,Delta,Tennessee_Valley_Authority,p88,SERTP
p89,SERC_SE,SERTP,SERTP,East_South_Central,AL,eastern,AL,USA,southeast,Southeast,Southern_Co_Services_Inc,p89,SERTP
p90,SERC_SE,SERTP,SERTP,East_South_Central,AL,eastern,AL,USA,southeast,Southeast,PowerSouth_Energy_Coop,p90,SERTP
p91,SERC_SE,SERTP,SERTP,South_Atlantic,FL,eastern,FL,USA,southeast,Florida,Southern_Co_Services_Inc,p91,SERTP
p92,SERC_C,SERTP,SERTP,East_South_Central,TN,eastern,TN,USA,appalachia,Southeast,Tennessee_Valley_Authority,p92,SERTP
p93,SERC_C,SERTP,SERTP,East_South_Central,KY,eastern,KY,USA,appalachia,MidAtlantic,Tennessee_Valley_Authority,p93,SERTP
p94,SERC_SE,SERTP,SERTP,South_Atlantic,GA,eastern,GA,USA,southeast,Southeast,Southern_Co_Services_Inc,p94,SERTP
p95,SERC_E,SERTP,SERTP,South_Atlantic,SC,eastern,SC,USA,southeast,Southeast,Duke_Energy_Carolinas_LLC,p95,SERTP
p96,SERC_E,SERTP,SERTP,South_Atlantic,SC,eastern,SC,USA,southeast,Southeast,South_Carolina_Electric_Gas_Co,p96,SERTP
p97,SERC_E,SERTP,SERTP,South_Atlantic,NC,eastern,NC,USA,appalachia,Southeast,Duke_Energy_Carolinas_LLC,p97,SERTP
p98,SERC_E,SERTP,SERTP,South_Atlantic,NC,eastern,NC,USA,appalachia,Southeast,Duke_Energy_Progress_East,p98,SERTP
p99,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,MidAtlantic,PJM,p99,PJM_East
p100,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,MidAtlantic,PJM,p100,PJM_East
p101,SERC_F,FRCC,FRCC,South_Atlantic,FL,eastern,FL,USA,southeast,Florida,Seminole_Electric_Coop_Inc,p101,SERC_F
p102,SERC_F,FRCC,FRCC,South_Atlantic,FL,eastern,FL,USA,southeast,Florida,Florida_Power_and_Light,p102,SERC_F
p103,MISO,MISO,MISO_Central,East_North_Central,MI,eastern,MI,USA,lake-states,Midwest,MISO,p103,MISO_Central
p104,PJM,PJM,PJM_West,East_North_Central,MI,eastern,MI,USA,lake-states,Midwest,PJM,p104,PJM_West
p105,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,IN,USA,corn-belt,Midwest,MISO,p105,MISO_Central
p106,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,IN,USA,corn-belt,Midwest,MISO,p106,MISO_Central
p107,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,IN,USA,corn-belt,Midwest,MISO,p107,MISO_Central
p108,MISO,MISO,MISO_Central,East_South_Central,KY,eastern,KY,USA,appalachia,MidAtlantic,MISO,p108,MISO_Central
p109,PJM,PJM,PJM_East,East_South_Central,KY,eastern,KY,USA,appalachia,MidAtlantic,PJM,p109,PJM_East
p110,PJM,PJM,PJM_East,East_South_Central,KY,eastern,KY,USA,appalachia,MidAtlantic,PJM,p110,PJM_East
p111,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,MidAtlantic,PJM,p111,PJM_East
p112,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,MidAtlantic,PJM,p112,PJM_East
p113,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,MidAtlantic,PJM,p113,PJM_East
p114,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,MidAtlantic,PJM,p114,PJM_East
p115,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,MidAtlantic,PJM,p115,PJM_East
p116,PJM,PJM,PJM_East,South_Atlantic,WV,eastern,WV,USA,appalachia,MidAtlantic,PJM,p116,PJM_East
p117,PJM,PJM,PJM_East,South_Atlantic,WV,eastern,WV,USA,appalachia,MidAtlantic,PJM,p117,PJM_East
p118,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,MidAtlantic,PJM,p118,PJM_East
p119,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,MidAtlantic,PJM,z122,PJM_East
p120,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,MidAtlantic,PJM,p120,PJM_East
p121,PJM,PJM,PJM_East,South_Atlantic,MD,eastern,MD,USA,northeast,MidAtlantic,PJM,p121,PJM_East
p122,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,MidAtlantic,PJM,z122,PJM_East
p123,PJM,PJM,PJM_East,South_Atlantic,MD,eastern,MD,USA,northeast,MidAtlantic,PJM,p123,PJM_East
p124,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,MidAtlantic,PJM,p124,PJM_East
p125,PJM,PJM,PJM_East,South_Atlantic,DE,eastern,DE,USA,northeast,MidAtlantic,PJM,p125,PJM_East
p126,PJM,PJM,PJM_East,Mid_Atlantic,NJ,eastern,NJ,USA,northeast,MidAtlantic,PJM,p126,PJM_East
p127,NPCC_NY,NYISO,NYISO,Mid_Atlantic,NY,eastern,NY,USA,northeast,NewYork,NYISO,p127,NYISO
p128,NPCC_NY,NYISO,NYISO,Mid_Atlantic,NY,eastern,NY,USA,northeast,NewYork,NYISO,p128,NYISO
p129,NPCC_NE,ISONE,ISONE,New_England,VT,eastern,VT,USA,northeast,NewEngland,ISONE,p129,ISONE
p130,NPCC_NE,ISONE,ISONE,New_England,NH,eastern,NH,USA,northeast,NewEngland,ISONE,p130,ISONE
p131,NPCC_NE,ISONE,ISONE,New_England,MA,eastern,MA,USA,northeast,NewEngland,ISONE,p131,ISONE
p132,NPCC_NE,ISONE,ISONE,New_England,CT,eastern,CT,USA,northeast,NewEngland,ISONE,p132,ISONE
p133,NPCC_NE,ISONE,ISONE,New_England,RI,eastern,RI,USA,northeast,NewEngland,ISONE,p133,ISONE
p134,NPCC_NE,ISONE,ISONE,New_England,ME,eastern,ME,USA,northeast,NewEngland,ISONE,p134,ISONE
