*r,rtscbin,sc_cat,value
WA_W,bin1,cost,65
WA_W,bin1,cap,1000
WA_W,bin2,cost,200
WA_W,bin2,cap,2000
WA_W,bin3,cost,2000
WA_W,bin3,cap,20000
WA_E,bin1,cost,65
WA_E,bin1,cap,1000
WA_E,bin2,cost,200
WA_E,bin2,cap,2000
WA_E,bin3,cost,2000
WA_E,bin3,cap,20000
OR_W,bin1,cost,65
OR_W,bin1,cap,1000
OR_W,bin2,cost,200
OR_W,bin2,cap,2000
OR_W,bin3,cost,2000
OR_W,bin3,cap,20000
OR_E,bin1,cost,65
OR_E,bin1,cap,1000
OR_E,bin2,cost,200
OR_E,bin2,cap,2000
OR_E,bin3,cost,2000
OR_E,bin3,cap,20000
CA_N,bin1,cost,65
CA_N,bin1,cap,1000
CA_N,bin2,cost,200
CA_N,bin2,cap,2000
CA_N,bin3,cost,2000
CA_N,bin3,cap,20000
CA_S,bin1,cost,65
CA_S,bin1,cap,1000
CA_S,bin2,cost,200
CA_S,bin2,cap,2000
CA_S,bin3,cost,2000
CA_S,bin3,cap,20000
CA_LA,bin1,cost,65
CA_LA,bin1,cap,1000
CA_LA,bin2,cost,200
CA_LA,bin2,cap,2000
CA_LA,bin3,cost,2000
CA_LA,bin3,cap,20000
CA_SE,bin1,cost,65
CA_SE,bin1,cap,1000
CA_SE,bin2,cost,200
CA_SE,bin2,cap,2000
CA_SE,bin3,cost,2000
CA_SE,bin3,cap,20000
ID_N,bin1,cost,65
ID_N,bin1,cap,1000
ID_N,bin2,cost,200
ID_N,bin2,cap,2000
ID_N,bin3,cost,2000
ID_N,bin3,cap,20000
ID_S,bin1,cost,65
ID_S,bin1,cap,1000
ID_S,bin2,cost,200
ID_S,bin2,cap,2000
ID_S,bin3,cost,2000
ID_S,bin3,cap,20000
MT_W,bin1,cost,65
MT_W,bin1,cap,1000
MT_W,bin2,cost,200
MT_W,bin2,cap,2000
MT_W,bin3,cost,2000
MT_W,bin3,cap,20000
MT_C,bin1,cost,65
MT_C,bin1,cap,1000
MT_C,bin2,cost,200
MT_C,bin2,cap,2000
MT_C,bin3,cost,2000
MT_C,bin3,cap,20000
MT_E,bin1,cost,65
MT_E,bin1,cap,1000
MT_E,bin2,cost,200
MT_E,bin2,cap,2000
MT_E,bin3,cost,2000
MT_E,bin3,cap,20000
NV_N,bin1,cost,65
NV_N,bin1,cap,1000
NV_N,bin2,cost,200
NV_N,bin2,cap,2000
NV_N,bin3,cost,2000
NV_N,bin3,cap,20000
NV_LV,bin1,cost,65
NV_LV,bin1,cap,1000
NV_LV,bin2,cost,200
NV_LV,bin2,cap,2000
NV_LV,bin3,cost,2000
NV_LV,bin3,cap,20000
UT,bin1,cost,65
UT,bin1,cap,1000
UT,bin2,cost,200
UT,bin2,cap,2000
UT,bin3,cost,2000
UT,bin3,cap,20000
WY_W,bin1,cost,65
WY_W,bin1,cap,1000
WY_W,bin2,cost,200
WY_W,bin2,cap,2000
WY_W,bin3,cost,2000
WY_W,bin3,cap,20000
WY_E,bin1,cost,65
WY_E,bin1,cap,1000
WY_E,bin2,cost,200
WY_E,bin2,cap,2000
WY_E,bin3,cost,2000
WY_E,bin3,cap,20000
CO_W,bin1,cost,65
CO_W,bin1,cap,1000
CO_W,bin2,cost,200
CO_W,bin2,cap,2000
CO_W,bin3,cost,2000
CO_W,bin3,cap,20000
CO_E,bin1,cost,65
CO_E,bin1,cap,1000
CO_E,bin2,cost,200
CO_E,bin2,cap,2000
CO_E,bin3,cost,2000
CO_E,bin3,cap,20000
AZ_N,bin1,cost,65
AZ_N,bin1,cap,1000
AZ_N,bin2,cost,200
AZ_N,bin2,cap,2000
AZ_N,bin3,cost,2000
AZ_N,bin3,cap,20000
AZ_S,bin1,cost,65
AZ_S,bin1,cap,1000
AZ_S,bin2,cost,200
AZ_S,bin2,cap,2000
AZ_S,bin3,cost,2000
AZ_S,bin3,cap,20000
NM_W,bin1,cost,65
NM_W,bin1,cap,1000
NM_W,bin2,cost,200
NM_W,bin2,cap,2000
NM_W,bin3,cost,2000
NM_W,bin3,cap,20000
NM_E,bin1,cost,65
NM_E,bin1,cap,1000
NM_E,bin2,cost,200
NM_E,bin2,cap,2000
NM_E,bin3,cost,2000
NM_E,bin3,cap,20000
TX_EP,bin1,cost,65
TX_EP,bin1,cap,1000
TX_EP,bin2,cost,200
TX_EP,bin2,cap,2000
TX_EP,bin3,cost,2000
TX_EP,bin3,cap,20000
TX_N,bin1,cost,65
TX_N,bin1,cap,1000
TX_N,bin2,cost,200
TX_N,bin2,cap,2000
TX_N,bin3,cost,2000
TX_N,bin3,cap,20000
TX_W,bin1,cost,65
TX_W,bin1,cap,1000
TX_W,bin2,cost,200
TX_W,bin2,cap,2000
TX_W,bin3,cost,2000
TX_W,bin3,cap,20000
TX_S,bin1,cost,65
TX_S,bin1,cap,1000
TX_S,bin2,cost,200
TX_S,bin2,cap,2000
TX_S,bin3,cost,2000
TX_S,bin3,cap,20000
TX_PAN,bin1,cost,65
TX_PAN,bin1,cap,1000
TX_PAN,bin2,cost,200
TX_PAN,bin2,cap,2000
TX_PAN,bin3,cost,2000
TX_PAN,bin3,cap,20000
TX_SPP,bin1,cost,65
TX_SPP,bin1,cap,1000
TX_SPP,bin2,cost,200
TX_SPP,bin2,cap,2000
TX_SPP,bin3,cost,2000
TX_SPP,bin3,cap,20000
TX_HOU,bin1,cost,65
