*r,rtscbin,sc_cat,value
WA,bin1,cost,65
WA,bin1,cap,1000
WA,bin2,cost,200
WA,bin2,cap,2000
WA,bin3,cost,2000
WA,bin3,cap,20000
OR,bin1,cost,65
OR,bin1,cap,1000
OR,bin2,cost,200
OR,bin2,cap,2000
OR,bin3,cost,2000
OR,bin3,cap,20000
CA_NorthernGrid,bin1,cost,65
CA_NorthernGrid,bin1,cap,1000
CA_NorthernGrid,bin2,cost,200
CA_NorthernGrid,bin2,cap,2000
CA_NorthernGrid,bin3,cost,2000
CA_NorthernGrid,bin3,cap,20000
CA_N_CAISO,bin1,cost,65
CA_N_CAISO,bin1,cap,1000
CA_N_CAISO,bin2,cost,200
CA_N_CAISO,bin2,cap,2000
CA_N_CAISO,bin3,cost,2000
CA_N_CAISO,bin3,cap,20000
CA_S_CAISO,bin1,cost,65
CA_S_CAISO,bin1,cap,1000
CA_S_CAISO,bin2,cost,200
CA_S_CAISO,bin2,cap,2000
CA_S_CAISO,bin3,cost,2000
CA_S_CAISO,bin3,cap,20000
NV,bin1,cost,65
NV,bin1,cap,1000
NV,bin2,cost,200
NV,bin2,cap,2000
NV,bin3,cost,2000
NV,bin3,cap,20000
ID,bin1,cost,65
ID,bin1,cap,1000
ID,bin2,cost,200
ID,bin2,cap,2000
ID,bin3,cost,2000
ID,bin3,cap,20000
MT_NorthernGrid,bin1,cost,65
MT_NorthernGrid,bin1,cap,1000
MT_NorthernGrid,bin2,cost,200
MT_NorthernGrid,bin2,cap,2000
MT_NorthernGrid,bin3,cost,2000
MT_NorthernGrid,bin3,cap,20000
WY_NorthernGrid,bin1,cost,65
WY_NorthernGrid,bin1,cap,1000
WY_NorthernGrid,bin2,cost,200
WY_NorthernGrid,bin2,cap,2000
WY_NorthernGrid,bin3,cost,2000
WY_NorthernGrid,bin3,cap,20000
WY_WestConnect,bin1,cost,65
WY_WestConnect,bin1,cap,1000
WY_WestConnect,bin2,cost,200
WY_WestConnect,bin2,cap,2000
WY_WestConnect,bin3,cost,2000
WY_WestConnect,bin3,cap,20000
UT,bin1,cost,65
UT,bin1,cap,1000
UT,bin2,cost,200
UT,bin2,cap,2000
UT,bin3,cost,2000
UT,bin3,cap,20000
AZ,bin1,cost,65
AZ,bin1,cap,1000
AZ,bin2,cost,200
AZ,bin2,cap,2000
AZ,bin3,cost,2000
AZ,bin3,cap,20000
NM_WestConnect,bin1,cost,65
NM_WestConnect,bin1,cap,1000
NM_WestConnect,bin2,cost,200
NM_WestConnect,bin2,cap,2000
NM_WestConnect,bin3,cost,2000
NM_WestConnect,bin3,cap,20000
SD_WestConnect,bin1,cost,65
SD_WestConnect,bin1,cap,1000
SD_WestConnect,bin2,cost,200
SD_WestConnect,bin2,cap,2000
SD_WestConnect,bin3,cost,2000
SD_WestConnect,bin3,cap,20000
CO,bin1,cost,65
CO,bin1,cap,1000
CO,bin2,cost,200
CO,bin2,cap,2000
CO,bin3,cost,2000
CO,bin3,cap,20000
MT_SPP,bin1,cost,65
MT_SPP,bin1,cap,1000
MT_SPP,bin2,cost,200
MT_SPP,bin2,cap,2000
MT_SPP,bin3,cost,2000
MT_SPP,bin3,cap,20000
ND_SPP,bin1,cost,65
ND_SPP,bin1,cap,1000
ND_SPP,bin2,cost,200
ND_SPP,bin2,cap,2000
ND_SPP,bin3,cost,2000
ND_SPP,bin3,cap,20000
ND_MISO,bin1,cost,65
ND_MISO,bin1,cap,1000
ND_MISO,bin2,cost,200
ND_MISO,bin2,cap,2000
ND_MISO,bin3,cost,2000
ND_MISO,bin3,cap,20000
SD_SPP,bin1,cost,65
SD_SPP,bin1,cap,1000
SD_SPP,bin2,cost,200
SD_SPP,bin2,cap,2000
SD_SPP,bin3,cost,2000
SD_SPP,bin3,cap,20000
NE,bin1,cost,65
NE,bin1,cap,1000
NE,bin2,cost,200
NE,bin2,cap,2000
NE,bin3,cost,2000
NE,bin3,cap,20000
MN,bin1,cost,65
MN,bin1,cap,1000
MN,bin2,cost,200
MN,bin2,cap,2000
MN,bin3,cost,2000
MN,bin3,cap,20000
IA,bin1,cost,65
IA,bin1,cap,1000
IA,bin2,cost,200
IA,bin2,cap,2000
IA,bin3,cost,2000
IA,bin3,cap,20000
WI,bin1,cost,65
WI,bin1,cap,1000
WI,bin2,cost,200
WI,bin2,cap,2000
WI,bin3,cost,2000
WI,bin3,cap,20000
NM_SPP,bin1,cost,65
NM_SPP,bin1,cap,1000
NM_SPP,bin2,cost,200
NM_SPP,bin2,cap,2000
NM_SPP,bin3,cost,2000
NM_SPP,bin3,cap,20000
TX_SPP_N,bin1,cost,65
TX_SPP_N,bin1,cap,1000
TX_SPP_N,bin2,cost,200
TX_SPP_N,bin2,cap,2000
TX_SPP_N,bin3,cost,2000
TX_SPP_N,bin3,cap,20000
OK,bin1,cost,65
OK,bin1,cap,1000
OK,bin2,cost,200
OK,bin2,cap,2000
OK,bin3,cost,2000
OK,bin3,cap,20000
KS,bin1,cost,65
KS,bin1,cap,1000
KS,bin2,cost,200
KS,bin2,cap,2000
KS,bin3,cost,2000
KS,bin3,cap,20000
MO_SPP,bin1,cost,65
MO_SPP,bin1,cap,1000
MO_SPP,bin2,cost,200
MO_SPP,bin2,cap,2000
MO_SPP,bin3,cost,2000
MO_SPP,bin3,cap,20000
AR_SPP,bin1,cost,65
AR_SPP,bin1,cap,1000
AR_SPP,bin2,cost,200
AR_SPP,bin2,cap,2000
AR_SPP,bin3,cost,2000
AR_SPP,bin3,cap,20000
TX_SPP_E,bin1,cost,65
TX_SPP_E,bin1,cap,1000
TX_SPP_E,bin2,cost,200
TX_SPP_E,bin2,cap,2000
TX_SPP_E,bin3,cost,2000
TX_SPP_E,bin3,cap,20000
LA,bin1,cost,65
LA,bin1,cap,1000
LA,bin2,cost,200
LA,bin2,cap,2000
LA,bin3,cost,2000
LA,bin3,cap,20000
TX_WestConnect,bin1,cost,65
TX_WestConnect,bin1,cap,1000
TX_WestConnect,bin2,cost,200
TX_WestConnect,bin2,cap,2000
TX_WestConnect,bin3,cost,2000
TX_WestConnect,bin3,cap,20000
TX_W_ERCOT,bin1,cost,65
TX_W_ERCOT,bin1,cap,1000
TX_W_ERCOT,bin2,cost,200
TX_W_ERCOT,bin2,cap,2000
TX_W_ERCOT,bin3,cost,2000
TX_W_ERCOT,bin3,cap,20000
TX_E_ERCOT,bin1,cost,65
TX_E_ERCOT,bin1,cap,1000
TX_E_ERCOT,bin2,cost,200
TX_E_ERCOT,bin2,cap,2000
TX_E_ERCOT,bin3,cost,2000
TX_E_ERCOT,bin3,cap,20000
TX_MISO,bin1,cost,65
TX_MISO,bin1,cap,1000
TX_MISO,bin2,cost,200
TX_MISO,bin2,cap,2000
TX_MISO,bin3,cost,2000
TX_MISO,bin3,cap,20000
MO_MISO,bin1,cost,65
MO_MISO,bin1,cap,1000
MO_MISO,bin2,cost,200
MO_MISO,bin2,cap,2000
MO_MISO,bin3,cost,2000
MO_MISO,bin3,cap,20000
MI_MISO,bin1,cost,65
MI_MISO,bin1,cap,1000
MI_MISO,bin2,cost,200
MI_MISO,bin2,cap,2000
MI_MISO,bin3,cost,2000
MI_MISO,bin3,cap,20000
IL_PJM,bin1,cost,65
IL_PJM,bin1,cap,1000
IL_PJM,bin2,cost,200
IL_PJM,bin2,cap,2000
