*r,rtscbin,sc_cat,value
AL,bin1,cost,65
AL,bin1,cap,1000
AL,bin2,cost,200
AL,bin2,cap,2000
AL,bin3,cost,2000
AL,bin3,cap,20000
AR,bin1,cost,65
AR,bin1,cap,1000
AR,bin2,cost,200
AR,bin2,cap,2000
AR,bin3,cost,2000
AR,bin3,cap,20000
AZ,bin1,cost,65
AZ,bin1,cap,1000
AZ,bin2,cost,200
AZ,bin2,cap,2000
AZ,bin3,cost,2000
AZ,bin3,cap,20000
CA_N,bin1,cost,65
CA_N,bin1,cap,1000
CA_N,bin2,cost,200
CA_N,bin2,cap,2000
CA_N,bin3,cost,2000
CA_N,bin3,cap,20000
CA_S,bin1,cost,65
CA_S,bin1,cap,1000
CA_S,bin2,cost,200
CA_S,bin2,cap,2000
CA_S,bin3,cost,2000
CA_S,bin3,cap,20000
CO,bin1,cost,65
CO,bin1,cap,1000
CO,bin2,cost,200
CO,bin2,cap,2000
CO,bin3,cost,2000
CO,bin3,cap,20000
CT,bin1,cost,65
CT,bin1,cap,1000
CT,bin2,cost,200
CT,bin2,cap,2000
CT,bin3,cost,2000
CT,bin3,cap,20000
DE,bin1,cost,65
DE,bin1,cap,1000
DE,bin2,cost,200
DE,bin2,cap,2000
DE,bin3,cost,2000
DE,bin3,cap,20000
FL,bin1,cost,65
FL,bin1,cap,1000
FL,bin2,cost,200
FL,bin2,cap,2000
FL,bin3,cost,2000
FL,bin3,cap,20000
GA,bin1,cost,65
GA,bin1,cap,1000
GA,bin2,cost,200
GA,bin2,cap,2000
GA,bin3,cost,2000
GA,bin3,cap,20000
IA,bin1,cost,65
IA,bin1,cap,1000
IA,bin2,cost,200
IA,bin2,cap,2000
IA,bin3,cost,2000
IA,bin3,cap,20000
ID,bin1,cost,65
ID,bin1,cap,1000
ID,bin2,cost,200
ID,bin2,cap,2000
ID,bin3,cost,2000
ID,bin3,cap,20000
IL_MISO,bin1,cost,65
IL_MISO,bin1,cap,1000
IL_MISO,bin2,cost,200
IL_MISO,bin2,cap,2000
IL_MISO,bin3,cost,2000
IL_MISO,bin3,cap,20000
IL_PJM,bin1,cost,65
IL_PJM,bin1,cap,1000
IL_PJM,bin2,cost,200
IL_PJM,bin2,cap,2000
IL_PJM,bin3,cost,2000
IL_PJM,bin3,cap,20000
IN,bin1,cost,65
IN,bin1,cap,1000
IN,bin2,cost,200
IN,bin2,cap,2000
IN,bin3,cost,2000
IN,bin3,cap,20000
KS,bin1,cost,65
KS,bin1,cap,1000
KS,bin2,cost,200
KS,bin2,cap,2000
KS,bin3,cost,2000
KS,bin3,cap,20000
